Headline,Date,Price movement
区域股市走软 马股微幅上升,22/07/2020,Up
"KLCI drifts higher but struggles to breach 1,600-point level as regional markets see muted trade",22/07/2020,Up
"KLCI drifts lower as index-linked glove makers weigh, Ocean Vantage makes firm Bursa debut",22/07/2020,Up
"Bursa set to pull back, but still outperform peers in 2020 — analysts",22/07/2020,Up
Time to short the KLCI?,22/07/2020,Up
"Amid claims of bonded labour use by Top Glove, Australia’s healthcare sector urged to scrutinise supply chain for abuses",22/07/2020,Up
"Top Glove, CIMB, CapitaLand Malaysia Mall Trust, TAS Offshore, Puncak Niaga, Sime Darby Plantation, Zecon, Marine & General, TNB, Komarkcorp, Sime Darby Property, SBC Corp, Prestariang and APFT",21/07/2020,Down
Ministry confirms Top Glove HQ raided but cleared of forced labour,21/07/2020,Down
Top Glove accorded ‘A’ rating in recent social audit by Amfori,21/07/2020,Down
公布红股计划后 顶级手套速柏玛遭套利,21/07/2020,Down
"Top Glove, Supermax retreat on profit taking after announcing bonus issues",21/07/2020,Down
综指成分股上涨 马股止跌回扬,21/07/2020,Down
"KLCI reverses loss, rises 0.54% as select index-linked stocks lift, regional markets post modest gains",21/07/2020,Down
艾芬黄氏：顶级手套目标价可能超过110令吉,21/07/2020,Down
"KLCI drifts lower on mild profit taking, regional markets see modest gains",21/07/2020,Down
"Top Glove’s fair value could surpass RM110, Affin Hwang says",21/07/2020,Down
Unfettered glove mania drives Bursa volume to new high,21/07/2020,Down
"Glove stocks remain attractive as key beneficiaries of strong global glove demand, CGS-CIMB says",21/07/2020,Down
"IGB REIT, Kenanga Investment Bank, TA Enterprise, TA Global, Widad, Supermax, Top Glove, Genting Malaysia and Ikhmas Jaya",20/07/2020,Up
EVENING 5: Five things you need to know today,20/07/2020,Up
银行股与通讯股拖累马股收低 总成交量飚至125亿股创新高,20/07/2020,Up
"Banks, telcos weigh on KLCI, as Bursa trading volume soars to record 12.5 billion securities",20/07/2020,Up
Coffee Break: All heated up over temperature checks,20/07/2020,Up
顶级手套拟2配1派送红股,20/07/2020,Up
"After share price hits all-time high, Supermax proposes 1-for-1 bonus issue",20/07/2020,Up
Imposing windfall tax on glove companies will curb expansion — MARGMA,20/07/2020,Up
Frankly Speaking: Hobbled by labour issues,20/07/2020,Up
Which are the 30 most-sought-after stocks since April?,20/07/2020,Up
综指成分手套股上涨及成交量突破80亿股 提振马股止跌回扬,20/07/2020,Up
Top Glove proposes two-for-one bonus share issue,20/07/2020,Up
Frankly Speaking: Reining in the excesses,20/07/2020,Up
"KLCI claws back to positive zone as index-linked glove markers lift, trading volume surges to 8 billion shares",20/07/2020,Up
EVENING 5: PM: Re-imposing MCO would hurt economy,20/07/2020,Up
国能马银行拖累 马股回跌,20/07/2020,Up
"KLCI retreats as index heavyweights TNB and Maybank drag, regional markets mixed",20/07/2020,Up
MIDF：外资上周净卖飙升至9.06亿,20/07/2020,Up
"Foreign selling surged to RM905.9m last week, says MIDF Research",20/07/2020,Up
"KLCI starts week on firm note as glove makers lift, regional markets mixed",20/07/2020,Up
Hartalega employees laughing all the way to the bank as they exercise share options,18/07/2020,#N/A
Glove rally continues as investors shrug off negative news,18/07/2020,#N/A
More technical issues crop up as Bursa resumes trading today,17/07/2020,Up
EVENING 5: Five things you need to know today,17/07/2020,Up
马股大涨31.33点 马交所创新高,17/07/2020,Up
KLCI finishes up 31.33 points; Bursa rises to record high,17/07/2020,Up
顶级手套领涨 马股扬1.09%,17/07/2020,Up
Cover Story: Six factors that could derail the market recovery,17/07/2020,Up
KLCI rises 1.09% as Top Glove leads gainers after analysts shrugged off US detention order on subsidiaries,17/07/2020,Up
EVENING 5: Top Glove bounces back to positive territory,17/07/2020,Up
Top Glove spikes more than 10% against yesterday’s revised closing price,17/07/2020,Up
券商对美国暂扣令不屑一顾 刺激顶级手套反弹,17/07/2020,Up
Top Glove gaps down at opening but rebounds shortly after as analysts shrug off US detention order,17/07/2020,Up
"KLCI adds 0.68% as Top Glove leads rebound, regional markets mixed on US-Sino tensions",17/07/2020,Up
"After updating Top Glove share price, Bursa says KLCI July 16 closing value revised from 1,573.31 to 1,565.00",17/07/2020,Up
区域股市涨跌互见 顶级手套反弹提振马股升0.39%,17/07/2020,Up
In the spotlight: Bursa's trading halt and the biggest market-moving stocks,17/07/2020,Up
"KLCI gains 0.92% as Top Glove rebounds and rises above RM20 mark, regional markets mixed",17/07/2020,Up
"Top Glove, Paramount, Ancom Logistics, MyEG, Astral Asia, Ni Hsin and Ireka",16/07/2020,Up
顶级手套：两家列暂扣令的子公司占总销售的12.5%,16/07/2020,Up
Top Glove: Two subsidiaries under detention order account for 12.5% of total sales,16/07/2020,Up
EVENING 5: Five things you need to know today,16/07/2020,Up
顶级手套和中国股市大跌 马股收低,16/07/2020,Up
罕见情况：顶级手套因美暂扣令挫跌 马股出现故障,16/07/2020,Up
美暂扣令消息传出后 顶级手套在新加坡遭沉重抛售,16/07/2020,Up
"In rare occurence, Bursa glitches as Top Glove dips on US detention order",16/07/2020,Up
"KLCI lower at Bursa halt as Top Glove, China shares drop",16/07/2020,Up
Heavy selldown on Top Glove in Singapore after news on US detention order,16/07/2020,Up
美国拘留令打击情绪 顶级手套跌破20令吉,16/07/2020,Up
Top Glove dips below RM20 as US detention order hits sentiment,16/07/2020,Up
顶级手套证实美国扣留子公司生产的手套,16/07/2020,Up
Cover Story: Health crisis lifts glove and tech stocks as others stumble,16/07/2020,Up
Cover Story: What does the worse-than-expected 1Q say about 2Q?,16/07/2020,Up
Top Glove confirms US detention order on gloves manufactured by subsidiaries,16/07/2020,Up
顶级手套产品列美国海关暂扣名单,16/07/2020,Up
马股随区域股市回落,16/07/2020,Up
Top Glove products placed on US customs detention list,16/07/2020,Up
"KLCI pulls back in line with regional drop, remains below 1,600 level",16/07/2020,Up
马股三大上升股：顶级手套、速柏玛及贺特佳,16/07/2020,Up
EVENING 5: Bursa glitches as Top Glove falls,16/07/2020,Up
手套股走强 马股上涨0.79%,16/07/2020,Up
四大手套股市值单日蒸发105亿,16/07/2020,Up
"Bursa top gainers: Top Glove, Supermax, Hartalega",16/07/2020,Up
KLCI rises 0.79% as index-linked glove makers advance strongly,16/07/2020,Up
Big Four glove stocks see RM10.5b market cap wiped out in one day,16/07/2020,Up
KLCI gets off to muted start in line with mixed regional markets ahead of China economic data,16/07/2020,Up
疫苗希望打压手套股 马股收于全日最低,15/07/2020,Down
丰隆投行上修3大手套股盈测和目标价,15/07/2020,Down
"KLCI down at intraday low as profit taking, vaccine hope dent glove shares",15/07/2020,Down
"HLIB ups target price for Top Glove to RM31.31, Hartalega to RM20.12",15/07/2020,Down
微领科技与香港公司联手收购医疗橡胶手套厂,15/07/2020,Down
MQTech in JV with HK company to acquire rubber glove factory,15/07/2020,Down
手套股回落 马股跌破1600点,15/07/2020,Down
"KLCI dips below 1,600 level as index-linked glove makers retreat and regional markets pare gains",15/07/2020,Down
投资者持续套利 四大手套股下跌,15/07/2020,Down
Financial Planning: What to do if you lose your job or have to take a pay cut,15/07/2020,Down
亚股上涨提振马股冲破1600点水平 手套股不敌套利下跌,15/07/2020,Down
"KLCI crosses 1,600-point threshold in line with regional gains, glove makers dip on profit taking",15/07/2020,Down
Big four glove stocks dip in morning trading as profit taking continues,15/07/2020,Down
Glove stocks uniform trading pattern sparks intrigue,15/07/2020,Down
马股尾盘急跌后收窄跌幅,14/07/2020,Down
KLCI cuts losses after final-hour plunge,14/07/2020,Down
"Top Glove, Hartalega pare losses after final-hour slump",14/07/2020,Down
Supermax’s structured put and call warrants continue to pique investor interest,14/07/2020,Down
"Insider Moves: MQ Technology Bhd, PRG Holdings Bhd, Rubberex Corp (M) Bhd, Green Packet Bhd, Komarkcorp Bhd",14/07/2020,Down
手套股领军 马股回升,14/07/2020,Down
"KLCI claws back as index-linked glove makers lead gainers, regional markets stay shaky",14/07/2020,Down
手套股猛涨无放缓迹象 四大手套股创新高,14/07/2020,Down
大众银行领跌 马股由升转跌,14/07/2020,Down
"Supermax, Top Glove, Kossan and Hartalega reach new highs with rubber glove bull run showing no sign of slowing down",14/07/2020,Down
"KLCI reverses gains as Public Bank leads decline, index hovers above 1,600-level",14/07/2020,Down
"KLCI ekes out marginal gains, poised to stay muted in line with mixed regional markets",14/07/2020,Down
The glove put warrants poser,14/07/2020,Down
"Can-One, KAB, Saudee, Protasco, Texchem, AirAsia, Top Glove, TNB and Tune Protect",13/07/2020,Down
EVENING 5: Five things you need to know today,13/07/2020,Down
"Supermax makes biggest-ever leap in share price, more expensive than RHB Bank now",13/07/2020,Down
顶级手套贺特佳推动 马股收高0.92%,13/07/2020,Down
"KLCI finishes up 0.92%, propelled by Top Glove, Hartalega",13/07/2020,Down
马股升幅收窄 顶级手套市值飙涨至644.6亿,13/07/2020,Down
"KLCI pares gains, hovers above 1,600 threshold in line with firm regional markets; Top Glove market cap swells to RM64.46b",13/07/2020,Down
EVENING 5: Glove makers hit new highs,13/07/2020,Down
顶级手套涨11% 超越国能成为市值第三大公司,13/07/2020,Down
Kenanga Research raises target price for Top Glove to RM32,13/07/2020,Down
顶级手套放眼内部增长与并购扩充业务,13/07/2020,Down
"Top Glove jumps 11%, overtakes TNB as third biggest stock on Bursa in market value",13/07/2020,Down
"KLCI crosses 1,600-point threshold, Top Glove’s market cap swells to over RM64b",13/07/2020,Down
大马交易所进入技术牛市,13/07/2020,Down
"KLCI rises 0.42% in line with firmer regional markets, index-linked glove makers advance on rising virus cases abroad",13/07/2020,Down
Bursa Malaysia enters a technical bull market,13/07/2020,Down
Passion for glove counters gets stronger as trading value accounts for one-third of Bursa’s weekly total,11/07/2020,#N/A
手套股持续上涨 马股逆市收高,10/07/2020,Up
KLCI bucks regional trend to close higher on continuing strong gains by glove counters,10/07/2020,Up
市场再度担忧新冠疫情 马股随亚股走低,10/07/2020,Up
3手套股再创新高,10/07/2020,Up
Shares in three glove makers soar to new all-time highs,10/07/2020,Up
顶级手套、速柏玛和高产柅品工业再创新高,10/07/2020,Up
Which are the 30 most sought-after stocks since April?,10/07/2020,Up
"Top Glove, Supermax, Kossan share prices spike to record high",10/07/2020,Up
缺乏新催化剂 马股小幅收低,09/07/2020,Up
KLCI closes marginally lower on lack of new leads,09/07/2020,Up
"Cover Story: Trade in an informed manner, says Bursa CEO",09/07/2020,Up
Penny stock rush pushes Bursa volume to new record high,09/07/2020,Up
All eyes on Semperit as it delays sale of Latexx Partners,07/07/2020,Up
四大手套股再创新高,07/07/2020,Up
The big four glove counters climb to new peak,07/07/2020,Up
自3月以来 570亿流入7手套股,07/07/2020,Up
等待国行利率决定 马股升幅收窄,07/07/2020,Up
KLCI pares gains ahead of Bank Negara's monetary policy statement,07/07/2020,Up
RM57b poured into these seven glove stocks since March,07/07/2020,Up
KLCI extends gains as index-linked glove makers continue dominance on rising virus cases abroad,07/07/2020,Up
"AirAsia, Kossan, CB Industrial Product, Bina Darulaman, Serba Dinamik, Perak Corp, Khee San, Yinson, Gunung, Yi-lai, Icon Offshore, and Hong Leong Bank",07/07/2020,Up
亚股与手套股上涨 刺激马股收高,06/07/2020,Up
"KLCI climbs on regional markets rally, glove makers’ boost",06/07/2020,Up
外国新冠病例激增 医疗保健指数弹升7%,06/07/2020,Up
"KLCI sustains rising momentum, healthcare index jumps 7% on spiking overseas virus cases",06/07/2020,Up
橡胶手套需求料更高 四大手套股再创新高,06/07/2020,Up
"Top Glove, Kossan, Supermax and Hartalega scale new heights on anticipation of even greater demand for rubber gloves",06/07/2020,Up
新增病例飙升激励手套股 马股延续涨势升0.75%,06/07/2020,Up
"KLCI extends gains, jumps 0.75% as index-linked glove makers surge on rising virus cases",06/07/2020,Up
Capacity of top four Malaysian rubber glove players expected to rise 16% in 2020,06/07/2020,Up
"KLCI starts week on positive note in line with regional markets, index-linked glove makers lift",06/07/2020,Up
"Yet another sturdy weekly gain on Bursa Malaysia, KLCI tops Asean markets",04/07/2020,#N/A
重量级手套股进一步飙升 马股收高1.07%,03/07/2020,Up
KLCI rises 1.07% as glove heavyweights soar further,03/07/2020,Up
以低于市价售零售单位 马联工业称确保快速脱售,03/07/2020,Up
顶级手套和速柏玛创新高,03/07/2020,Up
"Top Glove, Supermax shares jump to record highs",03/07/2020,Up
What does the worse-than-expected 1Q say about 2Q?,03/07/2020,Up
"Kossan, Hartalega rise to record high",02/07/2020,Up
亚股与手套股走强 刺激马股升0.45%,02/07/2020,Up
"KLCI rises 0.45% in line with firmer regional markets, lifted by glove makers",02/07/2020,Up
HLIB revises Malaysia 2020 GDP forecast to -5%,02/07/2020,Up
新冠病例增加刺激手套股走高 提振马股扬0.35%,02/07/2020,Up
KLCI gains 0.35% as index-linked glove makers advance amid rising virus cases,02/07/2020,Up
"KLCI extends gains in line with region, glove makers remain darlings of market as virus cases rise",02/07/2020,Up
"Kenanga Research raises year-end KLCI target to 1,422 on higher PE multiple",02/07/2020,Up
马股扬0.9% 贺特佳创新高,01/07/2020,Up
KLCI finishes up 0.9%; Hartalega hits record high,01/07/2020,Up
手套股推动 马股返回1500点,01/07/2020,Up
"KLCI swings back to above 1,500-point level as index-linked glove makers lift amid rising virus cases",01/07/2020,Up
下半年伊始 手套股上涨,01/07/2020,Up
新冠疫情蔓延 马股由升转跌,01/07/2020,Up
Glove makers start 2H with gains,01/07/2020,Up
KLCI reverses gains as Covid-19 spread and Sino-American tensions overshadow manufacturing growth,01/07/2020,Up
Market rally needs earnings recovery to scale higher — analysts,01/07/2020,Up
KLCI kicks off 2H2020 on positive note as manufacturing data shows promising growth,01/07/2020,Up
手套股上涨 中国PMI数据提振马股走高,30/06/2020,Up
"Glove share price rise, China PMI spur KLCI gains",30/06/2020,Up
Why employees’ health and well-being matter,30/06/2020,Up
疫情担忧推高手套股 马股半天涨0.76%,30/06/2020,Up
KLCI up 0.76% as index-linked glove makers ride on pandemic fear,30/06/2020,Up
全球新冠感染病例上升 手套股带动马股涨0.68%,30/06/2020,Up
KLCI rises 0.68% as glove makers come to the fore on rising global virus infections,30/06/2020,Up
"KLCI edges higher, crosses 1,500-threshold in line with gains at global markets",30/06/2020,Up
尾盘买入带动 马股逆市收高,29/06/2020,Up
KLCI bucks regional trend to close higher on late buying support,29/06/2020,Up
Glove stocks rebound amid worsening Covid-19 situation,29/06/2020,Up
The State of the Nation: A job portal that caters for non-executives,29/06/2020,Up
出口连续第二个月降且全球新冠感染死亡人数增 马股跌0.72%,29/06/2020,Up
"KLCI down 0.72% as Malaysia export fall extends for second month, global virus deaths mount",29/06/2020,Up
全球新冠感染死亡人数上升 马股或在上半年倒数第二个交易日收低,29/06/2020,Up
KLCI poised to close penultimate trading day of 1H20 in negative zone as global virus deaths mount,29/06/2020,Up
The return of the retail investor,27/06/2020,#N/A
"MRCB, Dutch Lady, Maybank, Kim Hin Joo, Leong Hup, APM, Mynews, AT Systematization, IJM, Cypark, IJM Plantations and Alliance Bank",27/06/2020,#N/A
顶级手套及贺特佳下跌 马股连续四天收低,26/06/2020,Up
Glovemakers take a breather after months-long rally,26/06/2020,Up
"Cover Story: International gas prices crash, but local price stays",26/06/2020,Up
"KLCI closes lower for fourth straight day, dragged down by Top Glove and Hartalega",26/06/2020,Up
Tech stocks valuations soar above five-year average — are they expensive?,26/06/2020,Up
"KLCI pares losses, stays in negative zone as rising US virus cases, downgrade in economic projections rattles markets",25/06/2020,Down
"KLCI extends loss, falls 0.92% to below 1,500 level as regional markets stumble on rising US virus cases",25/06/2020,Down
"KLCI dips 0.51% to below 1,500-level in line with regional drop as Wall Street slumps on rising virus cases",25/06/2020,Down
Mysterious sharp rise in Hextar Global's share price,23/06/2020,Down
你希望在3月股市暴跌期间有买入的股票,23/06/2020,Down
Stocks you wish you had bought during the March equity rout,23/06/2020,Down
EVENING 5: Five things you need to know today,22/06/2020,Up
马股止跌回扬 微领科技竞购利得股份成焦点,22/06/2020,Up
KLCI claws back to positive zone; MQ Tech in spotlight on bid for glove maker Latexx,22/06/2020,Up
竞购手套公司利得 微领科技受热捧,22/06/2020,Up
MQ Tech in the spotlight on bid for glove maker Latexx,22/06/2020,Up
新增病例打压情绪 马股随区域回落,22/06/2020,Up
KLCI retreats in line with region as new Covid-19 cases drag sentiment,22/06/2020,Up
KLCI ticks higher as glove makers lead gainers on new reported coronavirus cases,22/06/2020,Up
Technology stocks rally could be more powerful than pandemic play,22/06/2020,Up
Crazy rich glove makers,21/06/2020,#N/A
Bursa appears headed for record earnings on market’s trading surge,21/06/2020,#N/A
Cover Story: Two men with the Midas touch,21/06/2020,#N/A
手套股带动 马股收于1500点上方,19/06/2020,Up
"KLCI stays above 1,500 with support of glove makers",19/06/2020,Up
区域股市摇摆不定 马股震荡中回落,19/06/2020,Up
KLCI reverses gains in choppy trade as regional markets wobble,19/06/2020,Up
What the charts say about the glove rally,19/06/2020,Up
"KLCI extends loss and slips below 1,500 level as index-linked glove makers and Public Bank drag",19/06/2020,Up
"Astro, HSL, AirAsia, Top Glove, ECM Libra and MUI",19/06/2020,Up
Top Glove: Worker exploitation claims by British TV ‘highly inaccurate’,18/06/2020,Up
疫情再袭打压市场情绪 马股收低1.4%,18/06/2020,Up
KLCI ends 1.4% lower as Covid-19 resurgence dominates sentiment,18/06/2020,Up
Cover Story: Stretched,18/06/2020,Up
经济前景不佳 马股随大市挫1.3%,18/06/2020,Up
"KLCI slumps 1.3% in line with regional fall, poor economic outlook",18/06/2020,Up
马股随大市跌1%,18/06/2020,Up
"KLCI falls 1% as key index-linked stocks drop, in line with retreat at global markets",18/06/2020,Up
"ESG, syariah stock indices slightly outpaced conventional counterparts on better management, lower leverage — Islamic finance heads",17/06/2020,Down
"TNB, Yinson, Top Glove, BAuto, DRB-Hicom and Pentamaster are CGS-CIMB’s top shariah picks for 2H",17/06/2020,Down
World Bank: Islamic finance value proposition has to be clear,17/06/2020,Down
马股随区域稍事休整 部分手套股止升,17/06/2020,Down
"KLCI pauses in line with regional markets, selected glove makers halt uptrend",17/06/2020,Down
Potential of Islamic capital market remains promising at home and abroad – Bursa chairman,17/06/2020,Down
亚股涨跌互见及蓝筹股回落 拖累马股由升转跌,17/06/2020,Down
"KLCI reverses gains as key blue chips retreat, regional markets mixed",17/06/2020,Down
"KLCI gains 0.63% on firmer Wall Street close, glove makers continue ascend",17/06/2020,Down
Glove bulls regain strength,16/06/2020,Down
"KLCI ends above 1,500 again on US, Japan stimulus",16/06/2020,Down
手套股再次上涨,16/06/2020,Down
亚股跳涨及市场情绪转佳 刺激马股升1.9%,16/06/2020,Down
"KLCI up 1.9% as regional markets rally, sentiment turns broadly positive; trading volume over 4 bil shares",16/06/2020,Down
Here we g(l)o(ve) again,16/06/2020,Down
区域股市走高 马股上扬1.4%,16/06/2020,Down
"KLCI pares gains, stays up 1.4% in line with regional uptrend, select index-linked stocks lift",16/06/2020,Down
"KLCI rebounds 1.50% in line with regional uptrend, resurgent glovemakers lift",16/06/2020,Down
忧第二波疫情 马股挫3.05%,15/06/2020,Up
Glove stocks the selling targets after strong rally,15/06/2020,Up
KLCI slides 3.05% as concerns mount over second wave of Covid-19 infections,15/06/2020,Up
KLCI dives more than 3% as investors turn risk averse,15/06/2020,Up
对第二波疫情的担忧搅动市场 手套股拖累马股挫1.93%,15/06/2020,Up
"KLCI slumps 1.93% as fear of second wave of coronavirus rattles markets, glovemakers drag",15/06/2020,Up
"BLand, Dialog, Serba Dinamik, Careplus, Ekovest and MRCB",12/06/2020,Down
Comfort Glove 1Q net profit leaps 94% to RM16.34 million,12/06/2020,Down
券商仍建议“买入”顶级手套 准备迎接更多亮眼业绩,12/06/2020,Down
It's still a screaming buy for Top Glove as it prepares for more bumper results,12/06/2020,Down
新冠肺炎担忧重燃及油价下跌 打击马股走势,12/06/2020,Down
"Malaysian stock market hit as Covid-19 fears return, oil falls",12/06/2020,Down
"Besides rubber glove makers, this commodity is another star performer",12/06/2020,Down
手套股在全球暴跌中败退 顶级手套持稳,12/06/2020,Down
"KLCI skids, Top Glove the only component stock trading up",12/06/2020,Down
"Glove makers lose ground to global rout, but Top Glove remains steady",12/06/2020,Down
隔夜美股暴跌 马股应声挫,12/06/2020,Down
"KLCI primed for week-on-week loss after early slump, as Asian markets tumble on Wall Street plunge",12/06/2020,Down
"BHIC, Top Glove, Pantech, MAHB, Bermaz Auto, IGB and Pavilion REIT",12/06/2020,Down
"Exponential growth yet to peak, says Top Glove",11/06/2020,Up
EVENING 5: Five things you need to know today,11/06/2020,Up
美联储悲观经济预测令马股收低,11/06/2020,Up
KLCI declines following Fed’s gloomy economic outlook,11/06/2020,Up
第三季净赚3.48亿创纪录 顶级手套派息10仙,11/06/2020,Up
"Top Glove posts record net profit of RM348m in 3Q, declares 10 sen dividend",11/06/2020,Up
Cover Story: Market charges ahead despite dismal 1Q earnings,11/06/2020,Up
本地数据令人失望 马股下滑0.97%,11/06/2020,Up
"KLCI erases gains, falls 0.97% as disappointing domestic data, downbeat US economic outlook drag",11/06/2020,Up
EVENING 5: M’sia Airlines still discussing options with Khazanah,11/06/2020,Up
Selling on Top Glove continues right before quarterly earnings announcement later,11/06/2020,Up
Little-known AT Systematization soars on news acquiring industrial glove maker,11/06/2020,Up
手套股和蓝筹股推动 马股进一步上涨0.58%,11/06/2020,Up
KLCI pushes further to rise 0.58% as glove makers and blue chips lift; regional markets tentative on dour US economic outlook,11/06/2020,Up
安联星展：顶级手套稍作喘息,11/06/2020,Up
"KLCI advances as Top Glove and Hartalega lift, regional markets down on dour US economic outlook",11/06/2020,Up
"Top Glove taking a breather, says AllianceDBS",11/06/2020,Up
"TNB, Iconic Worldwide, AirAsia, KUB, Datasonic, KPJ, BHIC, Muar Ban Lee, AT Systemization, Serba Dinamik and Euro Holdings",11/06/2020,Up
马股临尾止跌回扬,10/06/2020,Down
KLCI reverses loss at eleventh hour to close marginally higher,10/06/2020,Down
明日公布第三季业绩 顶级手套再攀新高,10/06/2020,Down
Selling on Top Glove surfaces ahead of quarterly earnings,10/06/2020,Down
Investing: Finding an income-focused strategy that works for you,10/06/2020,Down
亚股走低 贺特佳及马银行提振马股回升,10/06/2020,Down
KLCI claws back as Hartalega and Maybank lift on day one of RMCO while Asian markets slip,10/06/2020,Down
"KLCI pauses for breather as Top Glove and Maybank drag, regional markets mostly lower on Wall Street retreat",10/06/2020,Down
Supermax buys RM22m land in Klang for future capacity expansion,09/06/2020,Up
EVENING 5: Five things you need to know today,09/06/2020,Up
Profit taking on glove stocks but Top Glove hits new peak,09/06/2020,Up
东盟表现最好的市场 马股创4个月新高,09/06/2020,Up
"M'sia the best performing market in Asean, KLCI at four-month high",09/06/2020,Up
Glove counters end morning session with small gains amid profit taking,09/06/2020,Up
复原期限行令启动 手套股续涨,09/06/2020,Up
Glove makers rally as WHO warns global coronavirus situation worsening,09/06/2020,Up
经济复苏计划与复原期限行令带动 马股上涨1.97%,09/06/2020,Up
KLCI rises 1.97% on economic recovery plan and RMCO; glovemakers shine,09/06/2020,Up
KLCI jumps 1.67% as market rejuvenated by economic recovery plan and RMCO,09/06/2020,Up
Glove bubble pops on stretchy valuations,06/06/2020,#N/A
马股连涨7天后收低 销售税豁免激励汽车股,05/06/2020,Up
"KLCI falls after seven-day uptrend, but autoplayers shine on tax boost",05/06/2020,Up
手套股走高 马股随大市收复部分失地,05/06/2020,Up
顶级手套与速柏玛再创历史新高,05/06/2020,Up
KLCI pares losses in line with region as glovemakers rise,05/06/2020,Up
"Yet another record high for Top Glove and Supermax, keen interest in glove stocks remains",05/06/2020,Up
主要综指成分股下跌 马股挫0.71%,05/06/2020,Up
"KLCI falls 0.71% as key index stocks retreat, investors eye economic recovery plan",05/06/2020,Up
"‘It’s a multi-year story for glove makers, not just a blip’",04/06/2020,Up
EVENING 5: Five things you need to know today,04/06/2020,Up
马股连涨7天,04/06/2020,Up
KLCI climbs for 7th consecutive day,04/06/2020,Up
瑞信上调顶级手套目标价至23令吉 2021财年料创纪录,04/06/2020,Up
"Credit Suisse raises target price for Top Glove to RM23, expects record FY21",04/06/2020,Up
手套股昨日惨遭抛售 今早收复失地,04/06/2020,Up
Glove counters regain lost ground after yesterday's selldown,04/06/2020,Up
与区域股市同步走高 马股上扬0.98%,04/06/2020,Up
"KLCI extends gains, rises 0.98% in line with regional rally",04/06/2020,Up
EVENING 5: Five things you need to know today,03/06/2020,Up
Glove rush jolted by tighter financing — is the selldown temporary?,03/06/2020,Up
Sharp rise in banking stocks lifts FBM KLCI to four-month high,03/06/2020,Up
大马投行、银河-联昌及大华继显收紧手套股的保证金融资标准,03/06/2020,Up
Glove party continues on rosy demand outlook,03/06/2020,Up
"AmInvestment, CGS-CIMB, UOB Kay Hian tighten margin financing standards for glove shares",03/06/2020,Up
银行股领涨 马股扬达0.87%,03/06/2020,Up
KLCI up as much as 0.87% as banking stocks lift,03/06/2020,Up
收紧保证金融资 手套股掀抛售潮,03/06/2020,Up
手套股惨遭套利 马股回吐涨幅,03/06/2020,Up
Selling wave sweeps across glove makers amid tightened margin financing,03/06/2020,Up
KLCI pares gains as index-linked glovemakers continue to succumb to profit taking,03/06/2020,Up
交投疯狂 券商收紧手套股保证金融资,02/06/2020,Down
"Post-Covid-19, glove demand to grow 12% a year — Top Glove",02/06/2020,Down
Brokerage houses tighten margin financing on glove makers' stocks amid crazed trading,02/06/2020,Down
蓝筹股推动马股转升 手套股走低,02/06/2020,Down
Frankly Speaking: Is the market behaving rationally?,02/06/2020,Down
蓝筹股走高及交投活络 马股收窄跌幅,02/06/2020,Down
Craze for glove makers spills over to small-cap stocks linked to healthcare,01/06/2020,Down
Hartalega and Top Glove among top eight largest stocks on Bursa by market cap,01/06/2020,Down
马股收涨1.15% 成交量再破百亿,01/06/2020,Down
KLCI finishes up 1.15% as Bursa volume tops 10b units again,01/06/2020,Down
Rubber glove-related HLT Global hits limit up as mania continues,01/06/2020,Down
手套股与国能带动 马股随亚股扬1%,01/06/2020,Down
贺特佳及顶级手套分别膺马股市值第六与第七大公司,01/06/2020,Down
手套股与国能走高 提振马股扬0.76%,01/06/2020,Down
"Malaysia sees third least foreign selling of RM13.3b YTD among seven Asian countries, says MIDF Research",01/06/2020,Down
"Bursa trade value soars to record high, Property Index up 4.88% leading the climb",29/05/2020,Up
"It is a mad, mad glove makers’ market",29/05/2020,Up
"This is not a glove maker, but analysts see more room for share price surge",29/05/2020,Up
马股收窄跌幅 有望在5月份录得按月增长,29/05/2020,Up
"KLCI pares loss, poised to notch month-on-month gain in May",29/05/2020,Up
"KLCI starts final day of May on sombre note as Wall Street rally fizzles out, Petronas stocks drag",29/05/2020,Up
Analysts unfazed about US FDA's import alert on Top Glove’s unit,28/05/2020,Up
"Supermax up, oil down as US-China spat, Covid-19 dictate sentiment",28/05/2020,Up
"Malaysia shares up after S&P 500 closes above 3,000 points",28/05/2020,Up
持续扯购手套股 提振马股收高1%,27/05/2020,Up
KLCI rises 1% as continuous buying lifts rubber glove stocks,27/05/2020,Up
This Malaysian glove maker is now among the 15 biggest market cap stocks on SGX,27/05/2020,Up
香港紧张局势升级拖累亚股下滑 马股回吐部分涨幅,27/05/2020,Up
KLCI pulls back as regional markets slip on rising tensions over Hong Kong; glove makers advance,27/05/2020,Up
Cover Story: Tapping into Asia's Healthcare Potential,27/05/2020,Up
综指成分手套股续涨 提振马股上扬1.32%,27/05/2020,Up
KLCI rises 1.32% as index-linked glove makers forge ahead on Covid-19 pandemic,27/05/2020,Up
KLCI resumes trade on high note as glovemakers continue to shine,27/05/2020,Up
Malaysian banks cheaper than glovemakers as mania continues,26/05/2020,#N/A
亚股动荡不安 马股下跌0.65%,22/05/2020,Up
KLCI falls 0.65% as region rattled by US-China overtures over security law in Hong Kong,22/05/2020,Up
开斋节前套利 马股小幅下滑,22/05/2020,Up
