original,Headline,date,Price movement 
Is Hartalega's record quarterly profit impressive enough?,Is Hartalega's record quarterly profit impressive enough?,05/08/2020,Up
"Aemulus, Alam Maritim, AT Systemization, Green Ocean, Kossan, Dufu, DRB-Hicom, F&N, Hartalega, MPHB and RedPlanet","Aemulus, Alam Maritim, AT Systemization, Green Ocean, Kossan, Dufu, DRB-Hicom, F&N, Hartalega, MPHB and RedPlanet",04/08/2020,Down
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,04/08/2020,Down
"Kossan, Green Ocean and AT Systematization refute news report on formation of glove-making pact","Kossan, Green Ocean and AT Systematization refute news report on formation of glove-making pact",04/08/2020,Down
"KLCI finishes up as Bursa volume, value rise to record highs","KLCI finishes up as Bursa volume, value rise to record highs",04/08/2020,Down
Late morning selling caps glove makers' share prices,Late morning selling caps glove makers' share prices,04/08/2020,Down
"KLCI falls 1.13% as volume surges to 11 billion shares, index-linked glove makers slump, most indices in the red","KLCI falls 1.13% as volume surges to 11 billion shares, index-linked glove makers slump, most indices in the red",04/08/2020,Down
Hartalega achieves record quarterly profit of RM219.7 million,Hartalega achieves record quarterly profit of RM219.7 million,04/08/2020,Down
"KLCI slips as Hartalega and Top Glove dip, technology stocks advance on Nasdaq rally","KLCI slips as Hartalega and Top Glove dip, technology stocks advance on Nasdaq rally",04/08/2020,Down
An unprecedentedly bad earnings season seen ahead,An unprecedentedly bad earnings season seen ahead,04/08/2020,Down
Two-tier market — blue chips down but low liners in favour,Two-tier market — blue chips down but low liners in favour,03/08/2020,Up
Malaysian companies slash dividends by nearly a third in 1Q2020,Malaysian companies slash dividends by nearly a third in 1Q2020,03/08/2020,Up
Can Top Glove surpass market cap of Asean’s largest bank?,Can Top Glove surpass market cap of Asean’s largest bank?,03/08/2020,Up
Malaysia’s top four glove makers more expensive than vaccine producers,Malaysia’s top four glove makers more expensive than vaccine producers,03/08/2020,Up
Frankly Speaking: Jumping on the glove bandwagon,Frankly Speaking: Jumping on the glove bandwagon,03/08/2020,Up
"Glove stocks soar to record highs, Careplus leads ascent","Glove stocks soar to record highs, Careplus leads ascent",03/08/2020,Up
"KLCI falls 0.94% as lenders dip on concern of loan impairments, regional markets trade cautious","KLCI falls 0.94% as lenders dip on concern of loan impairments, regional markets trade cautious",03/08/2020,Up
"KLCI pares loss as index-linked glove makers advance, regional markets trade cautiously","KLCI pares loss as index-linked glove makers advance, regional markets trade cautiously",03/08/2020,Up
Hartalega overtakes Public Bank as Malaysia’s third most valuable listed firm,Hartalega overtakes Public Bank as Malaysia’s third most valuable listed firm,01/08/2020,#N/A
July — A month of new Malaysian records,July — A month of new Malaysian records,31/07/2020,#N/A
"AAX, Lotte Chemical, CIMB, Tune Protect, YTL REIT, KPJ, Willowglen, Notion Vtec, YNH, Top Glove and Hartalega","AAX, Lotte Chemical, CIMB, Tune Protect, YTL REIT, KPJ, Willowglen, Notion Vtec, YNH, Top Glove and Hartalega",31/07/2020,#N/A
Political uncertainties and earnings to hog the limelight,Political uncertainties and earnings to hog the limelight,30/07/2020,Up
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,30/07/2020,Up
Top Glove expects to settle remediation with US Customs next month,Top Glove expects to settle remediation with US Customs next month,30/07/2020,Up
FBM KLCI recovers from Umno-PN bombshell to close 0.48% lower,FBM KLCI recovers from Umno-PN bombshell to close 0.48% lower,30/07/2020,Up
Hartalega aims to ramp up its total installed capacity to 76 billion glove pieces per annum,Hartalega aims to ramp up its total installed capacity to 76 billion glove pieces per annum,30/07/2020,Up
"EVENING 5: AAX reports 1Q loss, triggers PN17","EVENING 5: AAX reports 1Q loss, triggers PN17",30/07/2020,Up
ES Ceramics reaches all-time high as pandemic fears buoy healthcare-linked counters,ES Ceramics reaches all-time high as pandemic fears buoy healthcare-linked counters,30/07/2020,Up
Top Glove falls as no conclusion yet on US import ban,Top Glove falls as no conclusion yet on US import ban,30/07/2020,Up
KLCI dips 0.4% on losses at Top Glove and Public Bank ahead of holiday closure,KLCI dips 0.4% on losses at Top Glove and Public Bank ahead of holiday closure,30/07/2020,Up
KLCI ends higher on final-hour nudge after rare V-shape recovery,KLCI ends higher on final-hour nudge after rare V-shape recovery,29/07/2020,Down
Top Glove products banned by New Zealand's biggest supermarket chain,Top Glove products banned by New Zealand's biggest supermarket chain,29/07/2020,Down
"KLCI falls 1.14% to below 1,600-point level as PPI dips and regional markets struggle","KLCI falls 1.14% to below 1,600-point level as PPI dips and regional markets struggle",29/07/2020,Down
"Top Glove, Hartalega, Supermax slump as investors take profit","Top Glove, Hartalega, Supermax slump as investors take profit",29/07/2020,Down
Top Glove and Hartalega scale new heights as investors continue to show love for rubber glove stocks,Top Glove and Hartalega scale new heights as investors continue to show love for rubber glove stocks,29/07/2020,Down
How valuable are glove stocks on Bursa?,How valuable are glove stocks on Bursa?,29/07/2020,Down
Bursa looks to introducing more derivatives amid lacklustre listing year,Bursa looks to introducing more derivatives amid lacklustre listing year,28/07/2020,Down
KLCI ends at intraday high as investors weigh corporate earnings,KLCI ends at intraday high as investors weigh corporate earnings,28/07/2020,Down
Kossan seen as a laggard in sector,Kossan seen as a laggard in sector,28/07/2020,Down
Trade on glove put warrants confounds market observers,Trade on glove put warrants confounds market observers,28/07/2020,Down
"KLCI rises 0.7% as Najib found guilty of all charges, index-linked glove makers lift","KLCI rises 0.7% as Najib found guilty of all charges, index-linked glove makers lift",28/07/2020,Down
"Record highs for Top Glove, Kossan on Covid-19 second wave spectre","Record highs for Top Glove, Kossan on Covid-19 second wave spectre",28/07/2020,Down
"Hartalega’s turn to shine, hits fresh high","Hartalega’s turn to shine, hits fresh high",28/07/2020,Down
"KLCI pares gains as nation awaits verdict of Najib’s SRC trial, jewellers shine on strong gold prices","KLCI pares gains as nation awaits verdict of Najib’s SRC trial, jewellers shine on strong gold prices",28/07/2020,Down
Late buying in glove stocks lifts KLCI by 0.12% at close,Late buying in glove stocks lifts KLCI by 0.12% at close,27/07/2020,Up
Technical glitch puts Bursa in the spotlight,Technical glitch puts Bursa in the spotlight,27/07/2020,Up
"KLCI up 0.29% as index-linked glove makers rise, jewellers gain on record gold prices","KLCI up 0.29% as index-linked glove makers rise, jewellers gain on record gold prices",27/07/2020,Up
"Kossan reaches new all-time high as analysts raise earnings forecasts, target prices","Kossan reaches new all-time high as analysts raise earnings forecasts, target prices",27/07/2020,Up
KLCI pares gains as regional markets dip on tit-for-tat consulate closures in China and US,KLCI pares gains as regional markets dip on tit-for-tat consulate closures in China and US,27/07/2020,Up
"Careplus hits all-time high as glove mania, one-off gain bring it back into the black in 2Q","Careplus hits all-time high as glove mania, one-off gain bring it back into the black in 2Q",27/07/2020,Up
"KLCI advances as Top Glove & Hartalega lift, regional markets mixed on simmering China-US tensions","KLCI advances as Top Glove & Hartalega lift, regional markets mixed on simmering China-US tensions",27/07/2020,Up
Public Bank nudges Top Glove off to retake second position in terms of market capitalisation,Public Bank nudges Top Glove off to retake second position in terms of market capitalisation,24/07/2020,Up
"KLCI falls to below 1,600 as US-China tensions escalate","KLCI falls to below 1,600 as US-China tensions escalate",24/07/2020,Up
Top Glove slumps below RM26 after rising to record high,Top Glove slumps below RM26 after rising to record high,24/07/2020,Up
Investing: Using smart beta ETFs to ride the market recovery,Investing: Using smart beta ETFs to ride the market recovery,24/07/2020,Up
"KLCI pares loss, down 0.59% as CIMB and Maybank drag","KLCI pares loss, down 0.59% as CIMB and Maybank drag",24/07/2020,Up
Malaysian companies slash dividends by nearly a third in 1Q20,Malaysian companies slash dividends by nearly a third in 1Q20,24/07/2020,Up
"Maxis, BAT, ViTrox, Pavilion REIT, MHB, Ranhill Utilities, Prestariang, MTouche, Opcom, TM, Willowglen, Rubberex, Bertam Alliance, Vivocom and Top Glove","Maxis, BAT, ViTrox, Pavilion REIT, MHB, Ranhill Utilities, Prestariang, MTouche, Opcom, TM, Willowglen, Rubberex, Bertam Alliance, Vivocom and Top Glove",23/07/2020,Down
"Top Glove the second largest public listed company in Malaysia, Maybank still on top","Top Glove the second largest public listed company in Malaysia, Maybank still on top",23/07/2020,Down
KLCI ends 1.22% higher as Bursa volume climbs past 12 billion securities again,KLCI ends 1.22% higher as Bursa volume climbs past 12 billion securities again,23/07/2020,Down
"KLCI rises 0.66% as index-linked glove makers advance, regional markets slip on US-China consulate tensions","KLCI rises 0.66% as index-linked glove makers advance, regional markets slip on US-China consulate tensions",23/07/2020,Down
"Careplus reaches all-time high after buying property developer to convert hotels, shoplots to workers’ hostels","Careplus reaches all-time high after buying property developer to convert hotels, shoplots to workers’ hostels",23/07/2020,Down
"KLCI pares gains, Bioalpha at highest since Nov 2018 on bagging RM2.1b contract in China","KLCI pares gains, Bioalpha at highest since Nov 2018 on bagging RM2.1b contract in China",23/07/2020,Down
Tech stocks log record highs amid upbeat chip equipment prospects,Tech stocks log record highs amid upbeat chip equipment prospects,23/07/2020,Down
KLCI ends lower amid US-China spat; pharmaceutical firms hit limit up,KLCI ends lower amid US-China spat; pharmaceutical firms hit limit up,22/07/2020,Up
Glove counters pull back on profit-taking activities,Glove counters pull back on profit-taking activities,22/07/2020,Up
"KLCI dips 0.03% as glove makers retreat, pharmaceutical stocks soar on hopes of Covid-19 vaccine","KLCI dips 0.03% as glove makers retreat, pharmaceutical stocks soar on hopes of Covid-19 vaccine",22/07/2020,Up
Cover Story: Outperforming during a pandemic,Cover Story: Outperforming during a pandemic,22/07/2020,Up
"Top Glove clarifies HQ was inspected by authorities, not raided","Top Glove clarifies HQ was inspected by authorities, not raided",22/07/2020,Up
"KLCI drifts higher but struggles to breach 1,600-point level as regional markets see muted trade","KLCI drifts higher but struggles to breach 1,600-point level as regional markets see muted trade",22/07/2020,Up
"KLCI drifts lower as index-linked glove makers weigh, Ocean Vantage makes firm Bursa debut","KLCI drifts lower as index-linked glove makers weigh, Ocean Vantage makes firm Bursa debut",22/07/2020,Up
"Bursa set to pull back, but still outperform peers in 2020 — analysts","Bursa set to pull back, but still outperform peers in 2020 — analysts",22/07/2020,Up
Time to short the KLCI?,Time to short the KLCI?,22/07/2020,Up
"Amid claims of bonded labour use by Top Glove, Australia’s healthcare sector urged to scrutinise supply chain for abuses","Amid claims of bonded labour use by Top Glove, Australia’s healthcare sector urged to scrutinise supply chain for abuses",22/07/2020,Up
"Top Glove, CIMB, CapitaLand Malaysia Mall Trust, TAS Offshore, Puncak Niaga, Sime Darby Plantation, Zecon, Marine & General, TNB, Komarkcorp, Sime Darby Property, SBC Corp, Prestariang and APFT","Top Glove, CIMB, CapitaLand Malaysia Mall Trust, TAS Offshore, Puncak Niaga, Sime Darby Plantation, Zecon, Marine & General, TNB, Komarkcorp, Sime Darby Property, SBC Corp, Prestariang and APFT",21/07/2020,Down
Ministry confirms Top Glove HQ raided but cleared of forced labour,Ministry confirms Top Glove HQ raided but cleared of forced labour,21/07/2020,Down
Top Glove accorded ‘A’ rating in recent social audit by Amfori,Top Glove accorded ‘A’ rating in recent social audit by Amfori,21/07/2020,Down
"Top Glove, Supermax retreat on profit taking after announcing bonus issues","Top Glove, Supermax retreat on profit taking after announcing bonus issues",21/07/2020,Down
"KLCI reverses loss, rises 0.54% as select index-linked stocks lift, regional markets post modest gains","KLCI reverses loss, rises 0.54% as select index-linked stocks lift, regional markets post modest gains",21/07/2020,Down
"KLCI drifts lower on mild profit taking, regional markets see modest gains","KLCI drifts lower on mild profit taking, regional markets see modest gains",21/07/2020,Down
"Top Glove’s fair value could surpass RM110, Affin Hwang says","Top Glove’s fair value could surpass RM110, Affin Hwang says",21/07/2020,Down
Unfettered glove mania drives Bursa volume to new high,Unfettered glove mania drives Bursa volume to new high,21/07/2020,Down
"Glove stocks remain attractive as key beneficiaries of strong global glove demand, CGS-CIMB says","Glove stocks remain attractive as key beneficiaries of strong global glove demand, CGS-CIMB says",21/07/2020,Down
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,20/07/2020,Up
"Banks, telcos weigh on KLCI, as Bursa trading volume soars to record 12.5 billion securities","Banks, telcos weigh on KLCI, as Bursa trading volume soars to record 12.5 billion securities",20/07/2020,Up
Coffee Break: All heated up over temperature checks,Coffee Break: All heated up over temperature checks,20/07/2020,Up
"After share price hits all-time high, Supermax proposes 1-for-1 bonus issue","After share price hits all-time high, Supermax proposes 1-for-1 bonus issue",20/07/2020,Up
Imposing windfall tax on glove companies will curb expansion — MARGMA,Imposing windfall tax on glove companies will curb expansion — MARGMA,20/07/2020,Up
Frankly Speaking: Hobbled by labour issues,Frankly Speaking: Hobbled by labour issues,20/07/2020,Up
Which are the 30 most-sought-after stocks since April?,Which are the 30 most-sought-after stocks since April?,20/07/2020,Up
Top Glove proposes two-for-one bonus share issue,Top Glove proposes two-for-one bonus share issue,20/07/2020,Up
Frankly Speaking: Reining in the excesses,Frankly Speaking: Reining in the excesses,20/07/2020,Up
"KLCI claws back to positive zone as index-linked glove markers lift, trading volume surges to 8 billion shares","KLCI claws back to positive zone as index-linked glove markers lift, trading volume surges to 8 billion shares",20/07/2020,Up
EVENING 5: PM: Re-imposing MCO would hurt economy,EVENING 5: PM: Re-imposing MCO would hurt economy,20/07/2020,Up
"KLCI retreats as index heavyweights TNB and Maybank drag, regional markets mixed","KLCI retreats as index heavyweights TNB and Maybank drag, regional markets mixed",20/07/2020,Up
"Foreign selling surged to RM905.9m last week, says MIDF Research","Foreign selling surged to RM905.9m last week, says MIDF Research",20/07/2020,Up
"KLCI starts week on firm note as glove makers lift, regional markets mixed","KLCI starts week on firm note as glove makers lift, regional markets mixed",20/07/2020,Up
Hartalega employees laughing all the way to the bank as they exercise share options,Hartalega employees laughing all the way to the bank as they exercise share options,18/07/2020,#N/A
Glove rally continues as investors shrug off negative news,Glove rally continues as investors shrug off negative news,18/07/2020,#N/A
More technical issues crop up as Bursa resumes trading today,More technical issues crop up as Bursa resumes trading today,17/07/2020,Up
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,17/07/2020,Up
KLCI finishes up 31.33 points; Bursa rises to record high,KLCI finishes up 31.33 points; Bursa rises to record high,17/07/2020,Up
Cover Story: Six factors that could derail the market recovery,Cover Story: Six factors that could derail the market recovery,17/07/2020,Up
KLCI rises 1.09% as Top Glove leads gainers after analysts shrugged off US detention order on subsidiaries,KLCI rises 1.09% as Top Glove leads gainers after analysts shrugged off US detention order on subsidiaries,17/07/2020,Up
EVENING 5: Top Glove bounces back to positive territory,EVENING 5: Top Glove bounces back to positive territory,17/07/2020,Up
Top Glove spikes more than 10% against yesterday’s revised closing price,Top Glove spikes more than 10% against yesterday’s revised closing price,17/07/2020,Up
Top Glove gaps down at opening but rebounds shortly after as analysts shrug off US detention order,Top Glove gaps down at opening but rebounds shortly after as analysts shrug off US detention order,17/07/2020,Up
"KLCI adds 0.68% as Top Glove leads rebound, regional markets mixed on US-Sino tensions","KLCI adds 0.68% as Top Glove leads rebound, regional markets mixed on US-Sino tensions",17/07/2020,Up
"After updating Top Glove share price, Bursa says KLCI July 16 closing value revised from 1,573.31 to 1,565.00","After updating Top Glove share price, Bursa says KLCI July 16 closing value revised from 1,573.31 to 1,565.00",17/07/2020,Up
In the spotlight: Bursa's trading halt and the biggest market-moving stocks,In the spotlight: Bursa's trading halt and the biggest market-moving stocks,17/07/2020,Up
"KLCI gains 0.92% as Top Glove rebounds and rises above RM20 mark, regional markets mixed","KLCI gains 0.92% as Top Glove rebounds and rises above RM20 mark, regional markets mixed",17/07/2020,Up
"Top Glove, Paramount, Ancom Logistics, MyEG, Astral Asia, Ni Hsin and Ireka","Top Glove, Paramount, Ancom Logistics, MyEG, Astral Asia, Ni Hsin and Ireka",16/07/2020,Up
Top Glove: Two subsidiaries under detention order account for 12.5% of total sales,Top Glove: Two subsidiaries under detention order account for 12.5% of total sales,16/07/2020,Up
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,16/07/2020,Up
"In rare occurence, Bursa glitches as Top Glove dips on US detention order","In rare occurence, Bursa glitches as Top Glove dips on US detention order",16/07/2020,Up
"KLCI lower at Bursa halt as Top Glove, China shares drop","KLCI lower at Bursa halt as Top Glove, China shares drop",16/07/2020,Up
Heavy selldown on Top Glove in Singapore after news on US detention order,Heavy selldown on Top Glove in Singapore after news on US detention order,16/07/2020,Up
Top Glove dips below RM20 as US detention order hits sentiment,Top Glove dips below RM20 as US detention order hits sentiment,16/07/2020,Up
Cover Story: Health crisis lifts glove and tech stocks as others stumble,Cover Story: Health crisis lifts glove and tech stocks as others stumble,16/07/2020,Up
Cover Story: What does the worse-than-expected 1Q say about 2Q?,Cover Story: What does the worse-than-expected 1Q say about 2Q?,16/07/2020,Up
Top Glove confirms US detention order on gloves manufactured by subsidiaries,Top Glove confirms US detention order on gloves manufactured by subsidiaries,16/07/2020,Up
Top Glove products placed on US customs detention list,Top Glove products placed on US customs detention list,16/07/2020,Up
"KLCI pulls back in line with regional drop, remains below 1,600 level","KLCI pulls back in line with regional drop, remains below 1,600 level",16/07/2020,Up
EVENING 5: Bursa glitches as Top Glove falls,EVENING 5: Bursa glitches as Top Glove falls,16/07/2020,Up
"Bursa top gainers: Top Glove, Supermax, Hartalega","Bursa top gainers: Top Glove, Supermax, Hartalega",16/07/2020,Up
KLCI rises 0.79% as index-linked glove makers advance strongly,KLCI rises 0.79% as index-linked glove makers advance strongly,16/07/2020,Up
Big Four glove stocks see RM10.5b market cap wiped out in one day,Big Four glove stocks see RM10.5b market cap wiped out in one day,16/07/2020,Up
KLCI gets off to muted start in line with mixed regional markets ahead of China economic data,KLCI gets off to muted start in line with mixed regional markets ahead of China economic data,16/07/2020,Up
"KLCI down at intraday low as profit taking, vaccine hope dent glove shares","KLCI down at intraday low as profit taking, vaccine hope dent glove shares",15/07/2020,Down
"HLIB ups target price for Top Glove to RM31.31, Hartalega to RM20.12","HLIB ups target price for Top Glove to RM31.31, Hartalega to RM20.12",15/07/2020,Down
MQTech in JV with HK company to acquire rubber glove factory,MQTech in JV with HK company to acquire rubber glove factory,15/07/2020,Down
"KLCI dips below 1,600 level as index-linked glove makers retreat and regional markets pare gains","KLCI dips below 1,600 level as index-linked glove makers retreat and regional markets pare gains",15/07/2020,Down
Financial Planning: What to do if you lose your job or have to take a pay cut,Financial Planning: What to do if you lose your job or have to take a pay cut,15/07/2020,Down
"KLCI crosses 1,600-point threshold in line with regional gains, glove makers dip on profit taking","KLCI crosses 1,600-point threshold in line with regional gains, glove makers dip on profit taking",15/07/2020,Down
Big four glove stocks dip in morning trading as profit taking continues,Big four glove stocks dip in morning trading as profit taking continues,15/07/2020,Down
Glove stocks uniform trading pattern sparks intrigue,Glove stocks uniform trading pattern sparks intrigue,15/07/2020,Down
KLCI cuts losses after final-hour plunge,KLCI cuts losses after final-hour plunge,14/07/2020,Down
"Top Glove, Hartalega pare losses after final-hour slump","Top Glove, Hartalega pare losses after final-hour slump",14/07/2020,Down
Supermax’s structured put and call warrants continue to pique investor interest,Supermax’s structured put and call warrants continue to pique investor interest,14/07/2020,Down
"Insider Moves: MQ Technology Bhd, PRG Holdings Bhd, Rubberex Corp (M) Bhd, Green Packet Bhd, Komarkcorp Bhd","Insider Moves: MQ Technology Bhd, PRG Holdings Bhd, Rubberex Corp (M) Bhd, Green Packet Bhd, Komarkcorp Bhd",14/07/2020,Down
"KLCI claws back as index-linked glove makers lead gainers, regional markets stay shaky","KLCI claws back as index-linked glove makers lead gainers, regional markets stay shaky",14/07/2020,Down
"Supermax, Top Glove, Kossan and Hartalega reach new highs with rubber glove bull run showing no sign of slowing down","Supermax, Top Glove, Kossan and Hartalega reach new highs with rubber glove bull run showing no sign of slowing down",14/07/2020,Down
"KLCI reverses gains as Public Bank leads decline, index hovers above 1,600-level","KLCI reverses gains as Public Bank leads decline, index hovers above 1,600-level",14/07/2020,Down
"KLCI ekes out marginal gains, poised to stay muted in line with mixed regional markets","KLCI ekes out marginal gains, poised to stay muted in line with mixed regional markets",14/07/2020,Down
The glove put warrants poser,The glove put warrants poser,14/07/2020,Down
"Can-One, KAB, Saudee, Protasco, Texchem, AirAsia, Top Glove, TNB and Tune Protect","Can-One, KAB, Saudee, Protasco, Texchem, AirAsia, Top Glove, TNB and Tune Protect",13/07/2020,Down
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,13/07/2020,Down
"Supermax makes biggest-ever leap in share price, more expensive than RHB Bank now","Supermax makes biggest-ever leap in share price, more expensive than RHB Bank now",13/07/2020,Down
"KLCI finishes up 0.92%, propelled by Top Glove, Hartalega","KLCI finishes up 0.92%, propelled by Top Glove, Hartalega",13/07/2020,Down
"KLCI pares gains, hovers above 1,600 threshold in line with firm regional markets; Top Glove market cap swells to RM64.46b","KLCI pares gains, hovers above 1,600 threshold in line with firm regional markets; Top Glove market cap swells to RM64.46b",13/07/2020,Down
EVENING 5: Glove makers hit new highs,EVENING 5: Glove makers hit new highs,13/07/2020,Down
Kenanga Research raises target price for Top Glove to RM32,Kenanga Research raises target price for Top Glove to RM32,13/07/2020,Down
"Top Glove jumps 11%, overtakes TNB as third biggest stock on Bursa in market value","Top Glove jumps 11%, overtakes TNB as third biggest stock on Bursa in market value",13/07/2020,Down
"KLCI crosses 1,600-point threshold, Top Glove’s market cap swells to over RM64b","KLCI crosses 1,600-point threshold, Top Glove’s market cap swells to over RM64b",13/07/2020,Down
"KLCI rises 0.42% in line with firmer regional markets, index-linked glove makers advance on rising virus cases abroad","KLCI rises 0.42% in line with firmer regional markets, index-linked glove makers advance on rising virus cases abroad",13/07/2020,Down
Bursa Malaysia enters a technical bull market,Bursa Malaysia enters a technical bull market,13/07/2020,Down
Passion for glove counters gets stronger as trading value accounts for one-third of Bursa’s weekly total,Passion for glove counters gets stronger as trading value accounts for one-third of Bursa’s weekly total,11/07/2020,#N/A
KLCI bucks regional trend to close higher on continuing strong gains by glove counters,KLCI bucks regional trend to close higher on continuing strong gains by glove counters,10/07/2020,Up
Shares in three glove makers soar to new all-time highs,Shares in three glove makers soar to new all-time highs,10/07/2020,Up
Which are the 30 most sought-after stocks since April?,Which are the 30 most sought-after stocks since April?,10/07/2020,Up
"Top Glove, Supermax, Kossan share prices spike to record high","Top Glove, Supermax, Kossan share prices spike to record high",10/07/2020,Up
KLCI closes marginally lower on lack of new leads,KLCI closes marginally lower on lack of new leads,09/07/2020,Up
"Cover Story: Trade in an informed manner, says Bursa CEO","Cover Story: Trade in an informed manner, says Bursa CEO",09/07/2020,Up
Penny stock rush pushes Bursa volume to new record high,Penny stock rush pushes Bursa volume to new record high,09/07/2020,Up
All eyes on Semperit as it delays sale of Latexx Partners,All eyes on Semperit as it delays sale of Latexx Partners,07/07/2020,Up
The big four glove counters climb to new peak,The big four glove counters climb to new peak,07/07/2020,Up
KLCI pares gains ahead of Bank Negara's monetary policy statement,KLCI pares gains ahead of Bank Negara's monetary policy statement,07/07/2020,Up
RM57b poured into these seven glove stocks since March,RM57b poured into these seven glove stocks since March,07/07/2020,Up
KLCI extends gains as index-linked glove makers continue dominance on rising virus cases abroad,KLCI extends gains as index-linked glove makers continue dominance on rising virus cases abroad,07/07/2020,Up
"KLCI climbs on regional markets rally, glove makers’ boost","KLCI climbs on regional markets rally, glove makers’ boost",06/07/2020,Up
"KLCI sustains rising momentum, healthcare index jumps 7% on spiking overseas virus cases","KLCI sustains rising momentum, healthcare index jumps 7% on spiking overseas virus cases",06/07/2020,Up
"Top Glove, Kossan, Supermax and Hartalega scale new heights on anticipation of even greater demand for rubber gloves","Top Glove, Kossan, Supermax and Hartalega scale new heights on anticipation of even greater demand for rubber gloves",06/07/2020,Up
"KLCI extends gains, jumps 0.75% as index-linked glove makers surge on rising virus cases","KLCI extends gains, jumps 0.75% as index-linked glove makers surge on rising virus cases",06/07/2020,Up
Capacity of top four Malaysian rubber glove players expected to rise 16% in 2020,Capacity of top four Malaysian rubber glove players expected to rise 16% in 2020,06/07/2020,Up
"KLCI starts week on positive note in line with regional markets, index-linked glove makers lift","KLCI starts week on positive note in line with regional markets, index-linked glove makers lift",06/07/2020,Up
"Yet another sturdy weekly gain on Bursa Malaysia, KLCI tops Asean markets","Yet another sturdy weekly gain on Bursa Malaysia, KLCI tops Asean markets",04/07/2020,#N/A
KLCI rises 1.07% as glove heavyweights soar further,KLCI rises 1.07% as glove heavyweights soar further,03/07/2020,Up
"Top Glove, Supermax shares jump to record highs","Top Glove, Supermax shares jump to record highs",03/07/2020,Up
What does the worse-than-expected 1Q say about 2Q?,What does the worse-than-expected 1Q say about 2Q?,03/07/2020,Up
"Kossan, Hartalega rise to record high","Kossan, Hartalega rise to record high",02/07/2020,Up
"KLCI rises 0.45% in line with firmer regional markets, lifted by glove makers","KLCI rises 0.45% in line with firmer regional markets, lifted by glove makers",02/07/2020,Up
HLIB revises Malaysia 2020 GDP forecast to -5%,HLIB revises Malaysia 2020 GDP forecast to -5%,02/07/2020,Up
KLCI gains 0.35% as index-linked glove makers advance amid rising virus cases,KLCI gains 0.35% as index-linked glove makers advance amid rising virus cases,02/07/2020,Up
"KLCI extends gains in line with region, glove makers remain darlings of market as virus cases rise","KLCI extends gains in line with region, glove makers remain darlings of market as virus cases rise",02/07/2020,Up
"Kenanga Research raises year-end KLCI target to 1,422 on higher PE multiple","Kenanga Research raises year-end KLCI target to 1,422 on higher PE multiple",02/07/2020,Up
KLCI finishes up 0.9%; Hartalega hits record high,KLCI finishes up 0.9%; Hartalega hits record high,01/07/2020,Up
"KLCI swings back to above 1,500-point level as index-linked glove makers lift amid rising virus cases","KLCI swings back to above 1,500-point level as index-linked glove makers lift amid rising virus cases",01/07/2020,Up
Glove makers start 2H with gains,Glove makers start 2H with gains,01/07/2020,Up
KLCI reverses gains as Covid-19 spread and Sino-American tensions overshadow manufacturing growth,KLCI reverses gains as Covid-19 spread and Sino-American tensions overshadow manufacturing growth,01/07/2020,Up
Market rally needs earnings recovery to scale higher — analysts,Market rally needs earnings recovery to scale higher — analysts,01/07/2020,Up
KLCI kicks off 2H2020 on positive note as manufacturing data shows promising growth,KLCI kicks off 2H2020 on positive note as manufacturing data shows promising growth,01/07/2020,Up
"Glove share price rise, China PMI spur KLCI gains","Glove share price rise, China PMI spur KLCI gains",30/06/2020,Up
Why employees’ health and well-being matter,Why employees’ health and well-being matter,30/06/2020,Up
KLCI up 0.76% as index-linked glove makers ride on pandemic fear,KLCI up 0.76% as index-linked glove makers ride on pandemic fear,30/06/2020,Up
KLCI rises 0.68% as glove makers come to the fore on rising global virus infections,KLCI rises 0.68% as glove makers come to the fore on rising global virus infections,30/06/2020,Up
"KLCI edges higher, crosses 1,500-threshold in line with gains at global markets","KLCI edges higher, crosses 1,500-threshold in line with gains at global markets",30/06/2020,Up
KLCI bucks regional trend to close higher on late buying support,KLCI bucks regional trend to close higher on late buying support,29/06/2020,Up
Glove stocks rebound amid worsening Covid-19 situation,Glove stocks rebound amid worsening Covid-19 situation,29/06/2020,Up
The State of the Nation: A job portal that caters for non-executives,The State of the Nation: A job portal that caters for non-executives,29/06/2020,Up
"KLCI down 0.72% as Malaysia export fall extends for second month, global virus deaths mount","KLCI down 0.72% as Malaysia export fall extends for second month, global virus deaths mount",29/06/2020,Up
KLCI poised to close penultimate trading day of 1H20 in negative zone as global virus deaths mount,KLCI poised to close penultimate trading day of 1H20 in negative zone as global virus deaths mount,29/06/2020,Up
The return of the retail investor,The return of the retail investor,27/06/2020,#N/A
"MRCB, Dutch Lady, Maybank, Kim Hin Joo, Leong Hup, APM, Mynews, AT Systematization, IJM, Cypark, IJM Plantations and Alliance Bank","MRCB, Dutch Lady, Maybank, Kim Hin Joo, Leong Hup, APM, Mynews, AT Systematization, IJM, Cypark, IJM Plantations and Alliance Bank",27/06/2020,#N/A
Glovemakers take a breather after months-long rally,Glovemakers take a breather after months-long rally,26/06/2020,Up
